Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXN,Excellon Resources Inc. Common Shares,$2.82,0.03,1.075%,91289361.00,,2020,7139,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.33,0.04,0.932%,1072522675.00,United States,1986,547204,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.64,0.05,0.582%,75481736.00,United States,1992,26213,,
FEN,First Trust Energy Income and Growth Fund,$13.835,0.185,1.355%,269029461.00,United States,2004,50787,,
FRD,Friedman Industries Inc. Common Stock,$8.48,0.04,0.474%,58561600.00,United States,,39810,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.1443,-0.0057,-0.181%,38714335.00,Canada,,19871,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.47,0.04,0.737%,587085249.00,United States,,78212,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.3301,0.0151,0.162%,281198344.00,United States,2003,143406,,
FTSI,FTS International Inc. Class A Common Stock,$25.00,1.76,7.573%,349749250.00,United States,2020,34283,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.2789,-0.0211,-1.623%,150698734.00,,2020,104010,,
GAU,Galiano Gold Inc.,$1.185,0.035,3.043%,266107418.00,Canada,,354046,,
GBR,New Concept Energy Inc Common Stock,$4.1141,0.2041,5.22%,21113290.00,United States,,322275,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.30,0.10,0.98%,138043597.00,United States,2017,54176,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.69,0.02,0.545%,568186698.00,United States,2005,281503,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.28,-0.065,-0.256%,,United States,,1500,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$15.74,0.00,0.00%,24349024.00,,2016,1,,
GLDG,GoldMining Inc. Common Shares,$1.62,0.00,0.00%,242208436.00,,,176012,,
GLO,Clough Global Opportunities Fund Common Stock,$13.01,0.05,0.386%,419239600.00,United States,2006,75449,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.76,0.07,0.446%,208517865.00,United States,2005,137929,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$20.2082,-0.0201,-0.099%,108590339.00,United States,2004,11781,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$45.00,-0.38,-0.837%,,United States,,180,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.2199,-0.0301,-0.058%,,United States,,1000,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.989,0.029,0.242%,100800203.00,United States,2004,17763,,
GOED,1847 Goedeker Inc. Commom Stock,$6.9993,0.0093,0.133%,42774122.00,United States,2020,4880,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,$2.70,-0.04,-1.46%,200985854.00,United States,,495102,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.807,0.0101,1.267%,286541823.00,Canada,,602970,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.70,-0.10,-1.136%,35446593.00,United States,,5966,,
GROY,Gold Royalty Corp. Common Shares,$4.63,-0.03,-0.644%,189019750.00,,2021,40870,,
GSAT,Globalstar Inc. Common Stock,$1.29,0.01,0.781%,2308713000.00,United States,2006,17370631,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.65,0.03,0.829%,406294622.00,United States,,95153,,
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6148,0.0249,4.221%,219776371.00,Canada,,1849721,,
GTE,Gran Tierra Energy Inc. Common Stock,$0.6926,0.0336,5.099%,254171426.00,Canada,,4097709,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$26.00,-0.04,-0.154%,,United States,,11374,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.205,0.00,0.00%,12293462.00,United States,,20,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$14.92,0.04,0.269%,124325227.00,United States,2007,28911,,
HUSA,Houston American Energy Corporation Common Stock,$1.73,0.07,4.217%,17167375.00,United States,,183749,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$77.75,1.2432,1.625%,,United States,,277,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.38,0.02,0.314%,148680101.00,United States,,28103,,
IBIO,iBio Inc. Common Stock,$1.3771,0.0471,3.541%,297467276.00,United States,,1328760,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.97,-0.03,-0.375%,262001452.00,United States,2017,9127,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.63,0.00,0.00%,73947106.00,United States,,632975,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.19,0.07,3.302%,19849096.00,United States,,223785,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.19,0.00,0.00%,46707628.00,United States,1997,35160,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$27.036,1.156,4.467%,19846499148.00,Canada,,296517,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.693,0.303,5.622%,42173488.00,,2019,4357,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$22.35,-0.13,-0.578%,454997948.00,United States,,13128,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$39.33,0.10,0.255%,349342826.00,United States,1992,6287,Technology,Retail: Computer Software & Peripheral Equipment
INTT,inTest Corporation Common Stock,$13.2825,0.1725,1.316%,142163341.00,United States,1997,61091,Technology,Semiconductors
INUV,Inuvo Inc.,$0.8806,0.0097,1.114%,104365369.00,United States,,801638,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.33,0.00,0.00%,51396545.00,United States,,6,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$28.34,1.11,4.076%,106870197.00,United States,,34360,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.9345,0.005,0.538%,131951263.00,United States,,488463,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.5654,-0.0112,-1.942%,56000552.00,China,,1952077,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.9454,-0.1046,-3.43%,161398819.00,,,27968,,
JOB,GEE Group Inc. Common Stock,$0.64,-0.015,-2.29%,64640292.00,United States,,7112442,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.8177,-0.0001,-0.012%,44294879.00,Canada,,272117,,
KLR,Kaleyra Inc. Common Stock,$14.45,-0.05,-0.345%,437671527.00,United States,2018,40705,Technology,Internet and Information Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.655,-0.065,-2.39%,398200476.00,United States,,541267,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$23.4899,2.0699,9.663%,314291949.00,United States,2014,111953,,
LGL,LGL Group Inc. (The) Common Stock,$11.02,0.07,0.639%,58714185.00,United States,,340,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$76.47,1.96,2.631%,19385680137.00,United States,,407808,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$3.96,0.03,0.763%,168123839.00,United States,,442893,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$7.21,-0.05,-0.689%,187870177.00,United States,2017,38144,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$37.94,-0.14,-0.368%,337489655.00,,2020,28759,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$20.84,0.30,1.461%,575937429.00,United Kingdom,2012,37823,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$18.065,0.205,1.148%,1711537389.00,Canada,,225476,,
MCF,Contango Oil & Gas Company Common Stock (TX),$3.905,0.065,1.693%,777668957.00,United States,,289911,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$16.59,-0.13,-0.778%,189511087.00,United States,,18480,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$2.475,-0.035,-1.394%,164732411.00,United States,2015,162458,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.73,0.22,3.993%,807974763.00,,,87177,,
MSN,Emerson Radio Corporation Common Stock,$1.1789,0.0189,1.629%,24807182.00,United States,,12267,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$9.66,0.12,1.258%,403139630.00,,,98491,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.9479,0.0179,1.925%,193633611.00,United States,2017,425588,Health Care,Major Pharmaceuticals
