Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.54,0.07,0.52%,155777362.00,United States,1993,5002,,
VNRX,VolitionRX Limited Common Stock,$3.27,-0.04,-1.208%,172887866.00,Singapore,2015,115482,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.98,0.09,2.314%,86511569.00,United States,,39584,Technology,Diversified Commercial Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.2353,0.0553,1.068%,133938423.00,,2021,143022,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$1.50,0.01,0.671%,203696453.00,Canada,2011,333348,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.955,0.045,2.356%,42377556.00,United States,,19626,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.6084,0.1184,2.637%,149018674.00,United States,,527249,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$8.88,0.08,0.909%,79872945.00,United States,,28600,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.747,0.0125,1.702%,43609200.00,United States,,337281,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.98,-0.01,-0.503%,171680426.00,United States,,51727,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$5.63,0.72,14.664%,857997931.00,United States,,8632363,,
YCBD,cbdMD Inc. Common Stock,$3.82,0.01,0.262%,212528118.00,United States,2017,114590,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$9.23,0.00,0.00%,,United States,,105,,
ZDGE,Zedge Inc. Class B Common Stock ,$14.50,0.00,0.00%,196209665.00,,2016,145739,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$1.1007,0.0007,0.064%,1069899451.00,United States,2017,26684282,,
